Headline,Sentiment,Confidence
iPhone 17 Pro and iPhone 17 Pro Max - Apple,neutral,0.9220240712165833
Memory Integrity Enforcement: A complete vision for memory safety in Apple devices - Apple Security Research,neutral,0.8933330178260803
Apple’s $430 Billion Rally Faces Scrutiny of Product Unveiling - Bloomberg.com,neutral,0.9351809620857239
Steve Jobs was rude but his secret formula still runs Apple: Kevin O’Leary - India TV News,neutral,0.8924686908721924
"When is the 2025 Apple event? Date, start time and how to watch - USA Today",neutral,0.9469972848892212
iPhone 17 launch: Apple Inc share falls in pre-market trading; what to watch? - Business Today,negative,0.9477216005325317
"Apple Plans AI-Powered Web Search Tool for Siri to Rival OpenAI, Perplexity - Bloomberg.com",neutral,0.7326527237892151
Apple AI Researcher for Robotics Joins Meta in Latest Exit - Bloomberg.com,neutral,0.9345462918281555
Apple to Hold Sept. 9 Event to Introduce iPhone 17 Lineup - Bloomberg.com,neutral,0.9377310276031494
"Apple, Corning to manufacture all iPhone, Apple Watch cover glass in Kentucky - Apple",neutral,0.8936304450035095
New iPhone Prices Show Promise of Apple’s Bet on India - Bloomberg.com,neutral,0.8033612370491028
"iPhone 17 series in India: Attractive pricing, but steep premium stays - Business Standard",positive,0.8178941607475281
"Tim Cook | Biography, Apple CEO, & Business Executive - Britannica",neutral,0.9322913885116577
Apple takes $1 bn tariff hit without raising prices for iPhone 17 lineup; stock ends 1.5% lower - The Economic Times,negative,0.943576455116272
Investigation announced for Long-Term Investors in Apple Inc. (NASDAQ: AAPL) over potential Wrongdoing - openPR.com,neutral,0.685044527053833
